COMPOUND_NAME	SACRI_PERIOD	DOSE_LEVEL	RBC(x10_4/ul)	Hb(g/dL)	Ht(%)	MCV(fL)	MCH(pg)	MCHC(%)	Ret(%)	Plat(x10_4/uL)	WBC(x10_2/uL)	Neu(%)	Eos(%)	Bas(%)	Mono(%)	Lym(%)	PT(s)	APTT(s)	Fbg(mg/dL)	ALP(IU/L)	TC(mg/dL)	TG(mg/dL)	PL(mg/dL)	TBIL(mg/dL)	DBIL(mg/dL)	GLC(mg/dL)	BUN(mg/dL)	CRE(mg/dL)	Na(meq/L)	K(meq/L)	Cl(meq/L)	Ca(mg/dL)	IP(mg/dL)	TP(g/dL)	RALB(g/dL)	A/G	AST(IU/L)	ALT(IU/L)	LDH(IU/L)	GTP(IU/L)
acetaminophen	15 day	Low	645	13.6	39.9	61.8	21.1	34.1	7	119.1	57	17	0	0	4	79	11.7	16.2	229	561	68	208	162	0.23	0.04	186	17	0.4	143	5.5	105	10.6	8.9	5.9	3.6	1.6	49	23	136	1
acetaminophen	15 day	Low	659	13.7	40.5	61.4	20.8	33.8	3.3	131.2	39.4	6	1	0	4	89	11.5	17	243	790	68	231	162	0.23	0	195	15	0.3	141	5.1	105	10.7	9.8	6.3	3.8	1.5	60	34	95	1
acetaminophen	29 day	Low	719	15.4	45.5	63.3	21.4	33.9	3.5	115.8	114	14	2	0	7	78	11.6	21.5	223	757	79	139	166	0.19	0.06	241	21	0.5	142	5.6	106	10.1	8.2	6.3	3.7	1.4	69	32	113	1
acetaminophen	29 day	Low	689	14.1	41.7	60.4	20.5	33.9	2.9	105	76.6	23	1	0	3	73	11.6	16.2	216	564	75	309	187	0.28	0.05	208	19	0.5	142	4.8	106	10.5	7.6	6.3	3.6	1.3	55	25	153	1
acetaminophen	29 day	Low	700	14.1	41.5	59.3	20.2	34	3.3	120.2	52.5	15	0	0	2	83	11.4	16.2	224	493	75	375	185	0.19	0	207	21	0.5	142	5	103	10.5	7.3	6.8	3.8	1.3	56	32	113	0
acetaminophen	29 day	Low	703	14.7	43.6	62	20.8	33.6	3.2	84.7	59.4	5	1	0	1	93	11.6	16.8	203	548	62	239	157	0.25	0.07	166	19	0.4	144	5.2	105	10.2	9.1	6.2	3.7	1.5	51	30	71	1
acetaminophen	29 day	Low	729	14.1	42.8	58.7	19.4	33	4	116.5	53.1	11	1	0	4	84	11.3	17.4	240	611	83	112	176	0.23	0.02	200	20	0.4	143	5.2	103	10.4	9.5	6.3	3.7	1.4	48	32	65	1
acetaminophen	4 day	Middle	626	13.6	40.5	64.8	21.7	33.5	1.8	123.2	28.3	16	8	0	9	67	11.5	13.4	264	855	91	149	182	0.24	0.03	163	18	0.4	141	5.8	105	10.8	8.6	5.8	3.5	1.5	68	33	95	2
acetaminophen	4 day	Middle	559	12.2	37.1	66.3	21.7	32.8	6.7	132.8	44.7	16	3	0	4	77	11.3	15.4	245	1075	95	208	213	0.33	0	196	22	0.4	141	5.6	104	10.6	7.5	6	3.5	1.4	68	63	77	1
acetaminophen	4 day	Middle	611	13.2	39.2	64.2	21.6	33.6	3.9	98.9	50.6	12	1	0	4	83	11.2	16.5	247	1356	92	139	206	0.3	0.04	192	19	0.2	142	5.4	103	11.1	8.7	5.9	3.7	1.7	59	32	103	3
acetaminophen	4 day	Middle	577	12.3	36.7	63.6	21.2	33.4	4.5	113.6	12.7	22	1	0	3	75	11.3	13.8	230	751	78	79	158	0.24	0.03	184	17	0.2	142	5.4	103	10.9	10	5.6	3.3	1.4	53	36	78	2
acetaminophen	4 day	Middle	592	13	38.9	65.7	22	33.4	3.7	130.6	55	29	2	0	7	62	11	16.4	256	950	91	36	155	0.27	0.02	226	15	0.2	143	5.3	104	11.5	11.3	5.8	3.4	1.4	46	31	77	1
acetaminophen	8 day	Middle	600	13.6	40.3	67.1	22.7	33.9	5.2	140.8	57.4	19	2	0	5	74	11.5	17.5	239	882	103	199	217	0.21	0	204	17	0.4	143	5.6	105	10.6	8.4	6.6	3.8	1.4	57	28	123	1
acetaminophen	8 day	Middle	616	13.4	40.3	65.4	21.8	33.4	6.4	124.3	21.4	17	2	0	2	79	11.4	15	249	977	65	154	158	0.19	0.02	179	19	0.4	144	5.6	102	10.8	9.7	6.5	3.7	1.3	59	34	126	1
acetaminophen	8 day	Middle	568	12.2	35.9	63.3	21.5	34	8	125.1	35.9	23	1	0	5	71	11.5	16.2	246	853	68	99	141	0.24	0.02	193	18	0.4	141	5.4	104	10.6	9.9	6.2	3.6	1.4	55	26	105	1
acetaminophen	8 day	Middle	593	12.1	36.1	60.8	20.4	33.5	6	124.8	52.6	33	2	0	10	55	11.3	13.2	221	798	84	180	151	0.2	0.04	192	19	0.2	140	5.6	103	10.1	10.8	6.4	4.1	1.8	69	37	199	1
acetaminophen	8 day	Middle	595	12.7	37.6	63.2	21.4	33.9	6	133.7	31.7	24	2	0	6	69	12.2	15.5	251	994	89	146	148	0.2	0.05	202	20	0.4	140	5.9	103	10.7	10.7	6.2	3.8	1.6	55	49	77	2
acetaminophen	15 day	Middle	677	14.1	42.2	62.3	20.9	33.5	3.4	102.6	56.6	10	1	0	2	87	12	18.1	243	775	76	275	184	0.26	0.05	185	18	0.4	142	5.9	105	10.5	7.4	6.4	4	1.7	56	34	83	1
acetaminophen	15 day	Middle	654	14	41.4	63.3	21.4	33.9	5	114.6	85.6	14	1	0	5	81	11.5	17.6	214	841	89	137	179	0.21	0.02	173	18	0.2	141	5.8	101	10.7	9.2	6.4	3.8	1.5	58	32	129	1
acetaminophen	15 day	Middle	697	14.8	43.8	62.8	21.2	33.8	4.4	124.7	51.4	20	1	0	6	73	12.8	21	246	672	88	263	220	0.21	0.1	206	18	0.4	142	5.1	103	10.8	10	6.6	3.9	1.4	49	28	112	1
acetaminophen	15 day	Middle	667	13.9	41.2	61.8	20.8	33.7	4.8	126.6	22.9	24	1	0	5	70	11.7	18.1	244	761	65	106	149	0.24	0.02	197	15	0.3	142	4.9	102	10.8	10.1	5.9	3.5	1.5	59	28	103	1
acetaminophen	15 day	Middle	630	14.1	42.4	67.3	22.4	33.3	4	101.9	37.4	21	1	0	4	75	11.5	15.8	234	941	67	62	143	0.24	0	215	24	0.4	143	5.1	106	10.7	9.5	6.1	3.6	1.4	65	35	87	1
acetaminophen	29 day	Middle	751	15.3	45.5	60.6	20.4	33.6	2.2	127.3	109	18	1	0	7	75	11.2	16.4	243	779	88	327	213	0.2	0.04	176	24	0.5	144	5.4	103	11.4	10.7	7.5	4.1	1.2	60	28	117	1
acetaminophen	29 day	Middle	744	15	44.8	60.3	20.2	33.6	3.2	106.8	99.2	9	1	0	5	85	11.7	17.4	229	890	88	232	209	0.22	0.07	196	21	0.3	141	5.7	103	10.2	8.4	6.6	3.9	1.4	59	42	76	0
acetaminophen	29 day	Middle	682	14.1	41.5	60.9	20.7	34	2.7	110.1	47.4	15	1	0	3	81	11.3	16.1	264	585	84	380	226	0.23	0.04	192	21	0.5	141	5.2	103	10.7	7.9	6.7	3.9	1.4	49	25	73	1
acetaminophen	29 day	Middle	689	14.1	41.5	60.3	20.4	33.8	2.9	108.7	21.7	27	1	0	10	61	11.6	17.7	208	467	89	279	210	0.18	0.07	200	20	0.4	140	5.7	103	10	8.3	6.5	3.8	1.4	49	30	90	1
acetaminophen	29 day	Middle	735	14.8	43.8	59.6	20.1	33.8	3.6	89.4	55.8	14	1	0	5	80	11.4	19.3	213	473	75	160	186	0.22	0.1	210	19	0.3	142	5.4	103	10.5	9.1	6.8	4.1	1.5	42	23	65	1
acetaminophen	4 day	High	660	13.8	41.4	62.7	20.9	33.4	1.3	137.7	24.9	15	2	0	5	79	10.3	14.5	225	844	107	166	209	0.31	0.03	171	20	0.3	143	5.9	104	10.8	8.9	6.2	3.6	1.4	129	63	99	2
acetaminophen	4 day	High	626	13.6	40.7	65	21.8	33.5	0.8	134.6	11.4	20	13	0	2	65	12.1	14.7	210	952	111	67	205	0.29	0.02	195	17	0.4	140	5.5	103	10.7	9.9	5.6	3.3	1.4	111	33	52	1
acetaminophen	4 day	High	648	13.9	40.9	63.2	21.4	33.9	1.1	128.9	23.2	21	2	0	6	71	11.6	14.3	225	984	88	36	151	0.34	0.11	186	15	0.2	142	5.6	106	10.6	11.6	5.8	3.4	1.4	90	50	109	2
acetaminophen	8 day	High	608	13	38.4	63.2	21.4	33.8	6.4	143.4	12.7	21	2	0	10	67	11.8	17	252	1806	75	153	168	0.2	0.03	191	16	0.3	144	5.1	103	10.7	8.4	6.3	3.8	1.5	54	37	124	1
acetaminophen	8 day	High	633	13.3	39.9	63.1	21	33.3	4.8	130.5	12.8	23	2	0	6	69	11.9	17	245	735	84	153	175	0.15	0.04	215	19	0.3	142	5	103	11	9.7	6.2	3.9	1.7	49	27	120	0
acetaminophen	8 day	High	594	13	38.8	65.3	21.8	33.4	5.5	122.1	8.8	20	3	0	33	43	12.2	18.6	251	746	78	138	180	0.14	0.02	176	15	0.3	143	5.8	106	10.7	9.3	6.1	3.8	1.7	54	32	67	2
acetaminophen	8 day	High	570	12.4	37	64.9	21.8	33.6	5.2	119.4	40.5	21	3	0	7	70	11.5	16.5	223	957	67	69	142	0.2	0.06	199	17	0.3	140	5.2	102	10.5	9.2	5.8	3.5	1.5	56	31	132	1
acetaminophen	8 day	High	605	13.1	38.2	63.2	21.6	34.2	3.6	121.9	30.5	15	2	0	6	77	11.8	12.4	259	681	84	55	175	0.25	0.09	230	15	0.3	143	4.8	103	10.9	11	6	3.8	1.7	54	27	116	2
acetaminophen	15 day	High	617	13.5	39.9	64.7	21.9	33.8	4.8	110.6	24	23	2	0	5	70	10.9	13.6	248	1033	82	139	192	0.23	0.02	184	17	0.2	142	5.9	107	10.5	7.8	6.2	3.8	1.6	58	29	121	1
acetaminophen	15 day	High	578	12.8	37.4	64.7	22.1	34.2	4.7	122.1	49.3	13	1	0	6	80	11.6	15.4	234	695	81	345	207	0.29	0.01	176	20	0.4	144	5.5	105	10.6	8	6.2	3.8	1.6	58	30	118	0
acetaminophen	15 day	High	621	13.2	39.4	63.5	21.2	33.4	4.6	107.9	46.7	16	3	0	4	78	11.6	16.6	212	921	87	77	182	0.2	0.04	201	20	0.4	141	5.9	104	10.4	8.6	5.9	3.5	1.5	60	43	82	3
acetaminophen	15 day	High	633	13.9	40.6	64.1	21.9	34.2	6.2	107.5	71.3	18	1	0	3	78	11.8	17.9	229	817	77	147	184	0.2	0.01	196	13	0.3	142	5.1	106	10.6	8.1	5.7	3.6	1.7	55	39	113	1
acetaminophen	15 day	High	660	14.1	41.2	62.5	21.4	34.3	2.8	110.9	119	8	1	0	3	88	11.8	16.9	232	1236	75	92	161	0.2	0.04	257	17	0.3	141	5	105	10.4	8.8	5.8	3.4	1.4	57	36	118	2
acetaminophen	29 day	High	623	13.2	38.5	61.8	21.2	34.3	5.5	127.4	45.3	15	0	0	1	85	11.3	16.8	231	591	89	298	214	0.25	0.03	206	29	0.5	141	5.3	102	10.7	8.1	6.8	3.7	1.2	52	27	84	0
acetaminophen	29 day	High	670	14.7	43.2	64.4	22	34.1	3.9	108	25.5	35	1	0	5	59	11.3	17.6	235	679	85	203	191	0.21	0.07	175	23	0.4	143	5	102	10.5	9.1	6.7	4	1.5	72	36	129	2
acetaminophen	29 day	High	632	13.6	39.5	62.5	21.5	34.5	3.4	118.7	36.2	46	1	0	5	48	11.4	15.3	223	503	96	194	200	0.21	0.05	182	20	0.4	139	5.4	105	10.2	9.8	6.1	3.6	1.4	48	31	58	1
acetaminophen	29 day	High	670	14.7	43.1	64.3	22	34.1	0	89.5	30.4	16	1	0	4	78	11.5	16.9	230	631	79	114	185	0.19	0.11	182	20	0.3	142	4.9	102	10.2	8.9	6.4	3.9	1.6	50	33	134	1
acetaminophen	29 day	High	681	14.6	42.9	63	21.5	34.1	2.9	110.8	49.4	29	1	0	6	63	11.2	18.3	249	556	135	109	265	0.26	0.08	246	17	0.4	143	5.4	104	10.7	9.8	6.9	3.9	1.3	55	28	218	2
allyl alcohol	4 day	Low	656	13.6	39.8	60.8	20.8	34.2	5.1	137.5	99.7	13	1	0	3	83	11.7	22.2	207	1562	82	129	163	0.14	0.09	228	19	0.5	139	4.3	102	10.7	7.7	5.5	3.1	1.3	67	42	216	1
allyl alcohol	4 day	Low	660	13.7	39.4	59.7	20.7	34.7	5.3	147.4	126	16	1	0	3	79	11.6	20.9	256	1095	71	70	147	0.13	0.07	219	18	0.5	138	4.9	101	11.1	7.7	5.7	3.7	1.9	62	35	198	0
allyl alcohol	4 day	Low	680	14.6	42.4	62.3	21.5	34.5	5.1	126.5	108.5	20	1	0	2	76	11.4	18.5	215	897	78	85	150	0.12	0.09	205	13	0.4	143	3.8	105	10.8	5.9	5.6	3.6	1.8	59	30	166	1
allyl alcohol	4 day	Low	624	13	37.6	60.3	20.8	34.5	5.7	138.1	163.4	19	1	0	3	77	12	20.7	230	1057	76	103	148	0.13	0.08	245	16	0.5	140	4.2	102	11	6.6	5.6	3.5	1.7	65	36	217	1
allyl alcohol	4 day	Low	690	14	40.7	58.9	20.3	34.5	4.6	129.9	92	21	2	0	3	74	11.2	18	234	838	89	71	157	0.11	0.05	232	15	0.4	142	4.1	106	10.6	7.5	5.6	3.3	1.4	66	45	226	0
allyl alcohol	8 day	Low	649	13.3	38.6	59.5	20.5	34.4	5.1	115.5	130.2	18	1	0	1	80	11.7	20	210	904	79	97	153	0.12	0.06	239	16	0.4	140	4.3	101	10.7	7.7	5.6	3.3	1.4	64	33	171	1
allyl alcohol	8 day	Low	677	13.5	40.2	59.4	19.9	33.4	5.7	145.5	137.9	15	1	0	3	80	12.2	20.1	221	768	69	72	126	0.13	0.06	246	14	0.5	141	4.4	103	10.6	7.1	5.7	3.6	1.7	64	29	220	0
allyl alcohol	8 day	Low	662	13.7	41.1	62	20.7	33.3	4.7	125.9	163.6	14	1	0	3	82	11.6	20	218	720	74	144	161	0.16	0.11	211	15	0.4	142	4	102	10.8	6.2	5.7	3.4	1.5	65	34	186	1
allyl alcohol	8 day	Low	671	14	40.8	60.8	20.9	34.4	5	134.3	89.7	15	1	0	3	82	12	18.5	234	864	70	162	147	0.17	0.11	202	18	0.4	143	3.7	103	11.3	6.4	6	3.8	1.7	56	27	210	1
allyl alcohol	8 day	Low	677	14	40.7	60.1	20.7	34.4	4.8	153.6	120	17	1	0	3	79	12.1	18.7	221	1163	60	128	141	0.15	0.1	209	18	0.4	139	3.9	99	11.1	7.2	5.8	3.5	1.5	58	33	173	1
allyl alcohol	15 day	Low	705	14.7	42.4	60.1	20.9	34.7	3.4	115.3	130.2	7	2	0	2	88	12.1	21.5	221	803	81	79	149	0.13	0.05	220	16	0.4	140	3.9	101	10.7	6	6	3.6	1.5	64	63	281	1
allyl alcohol	15 day	Low	704	14.2	40.7	57.8	20.2	34.9	3.4	105.1	94.1	10	1	0	2	87	11.6	19.6	230	868	84	105	167	0.13	0.06	231	17	0.4	142	3.3	104	10.5	6.8	5.9	3.4	1.4	51	40	225	1
allyl alcohol	15 day	Low	685	14	41.2	60.1	20.5	34	3.9	114.8	85.9	13	2	0	3	82	12.2	20.5	241	720	66	107	135	0.14	0.1	215	19	0.5	141	3.9	103	10.7	5.2	6	3.5	1.4	61	31	142	1
allyl alcohol	15 day	Low	750	14.7	42.3	56.3	19.6	34.8	3.5	126.5	69.9	13	1	0	4	83	11.9	19.3	230	726	80	93	146	0.13	0.08	220	14	0.4	141	3.5	102	10.8	6.3	5.9	3.6	1.6	63	33	253	1
allyl alcohol	15 day	Low	732	15	43.4	59.3	20.5	34.6	3.1	107.8	171.2	10	1	0	1	87	12.1	19.4	207	566	63	49	118	0.11	0.06	225	15	0.4	142	3.5	103	10.5	7.4	5.7	3.3	1.4	62	28	173	2
allyl alcohol	29 day	Low	782	15.2	43.8	56	19.4	34.6	2.9	104.8	143.1	9	1	0	1	87	11.8	20.4	202	736	53	128	123	0.17	0.1	217	17	0.5	140	3.4	103	10.2	5.1	6	3.4	1.3	62	34	145	0
allyl alcohol	29 day	Low	790	15.8	44.7	56.5	20	35.3	2.4	91.3	107.1	16	1	0	3	78	12.4	23	215	623	53	58	108	0.13	0.05	224	12	0.5	141	3.3	104	10.1	6.2	6.2	3.4	1.2	63	37	315	0
allyl alcohol	29 day	Low	758	14.5	42.2	55.7	19.1	34.2	3	117.5	90.7	17	1	0	2	80	11.8	19.1	212	727	71	105	147	0.12	0.07	242	16	0.5	139	3.6	101	10.7	5.7	6.3	3.6	1.3	53	34	159	0
allyl alcohol	29 day	Low	819	15.3	44.6	54.4	18.7	34.3	2.6	118	82.4	20	1	0	3	75	12.1	20.2	234	476	84	195	175	0.16	0.09	190	17	0.5	140	4	103	10.9	6	6.2	3.4	1.2	53	37	205	2
allyl alcohol	29 day	Low	789	15.2	43.5	55.1	19.3	34.9	2.8	102.7	95.7	18	1	0	2	80	11.9	21.4	221	538	68	86	140	0.14	0.07	218	14	0.5	139	4	103	10.3	5.9	6.2	3.4	1.2	58	37	230	1
allyl alcohol	4 day	Middle	604	12.8	38	62.9	21.2	33.8	5.8	110	96.2	16	0	0	3	81	12.1	24	234	1016	65	58	120	0.12	0.07	216	15	0.4	139	4	102	10.6	6.7	5.4	3.4	1.7	62	34	144	1
allyl alcohol	4 day	Middle	721	15.1	44	61	20.9	34.2	5.3	155.3	136.5	12	0	0	4	83	12	19.2	195	631	60	130	123	0.12	0.06	229	12	0.4	140	3.2	104	9.6	7.4	4.5	2.6	1.4	70	34	313	0
allyl alcohol	4 day	Middle	684	14.1	40.8	59.6	20.6	34.5	4.2	128.7	140.3	25	1	0	4	69	11.4	19.6	264	813	80	83	163	0.14	0.08	196	18	0.4	140	4.7	103	10.7	6	5.6	3.4	1.5	89	43	266	1
allyl alcohol	4 day	Middle	686	13.7	40.9	59.7	20	33.5	4.7	127.9	57.1	15	1	0	3	81	11.5	18.9	252	794	89	58	152	0.12	0.06	207	12	0.4	142	3.7	105	10.9	6.8	5.6	3.5	1.7	57	31	176	1
allyl alcohol	4 day	Middle	669	13.6	40.4	60.3	20.3	33.7	5.5	144	149.8	21	1	0	4	73	11.7	22.5	221	1353	96	61	152	0.12	0.06	191	13	0.4	140	3.9	101	11.6	6.3	5.5	3.5	1.8	60	34	231	2
allyl alcohol	8 day	Middle	685	13.9	40.8	59.6	20.2	34	4.4	142.2	153.1	10	1	0	2	86	11.8	18	248	1041	80	42	143	0.11	0.05	203	12	0.4	141	3.4	102	10.4	7.6	5.3	3.2	1.5	73	46	177	0
allyl alcohol	8 day	Middle	669	14	40.5	60.6	20.9	34.4	3.3	137.1	162.8	18	0	0	2	79	12.4	18.8	230	1263	70	54	124	0.12	0.05	200	16	0.4	141	3.8	103	10.1	7.8	5.5	3.4	1.6	65	39	226	1
allyl alcohol	8 day	Middle	655	13	38.5	58.8	19.9	33.8	5.1	132.5	100.5	13	1	0	3	83	11.8	18.8	224	750	77	107	152	0.14	0.07	191	14	0.4	141	4.2	102	11.3	5.7	5.5	3.1	1.3	59	25	157	1
allyl alcohol	8 day	Middle	643	13.4	38.8	60.4	20.8	34.4	4.8	143	79.8	13	1	0	2	83	12	17.2	186	868	59	84	134	0.11	0.05	211	15	0.4	141	3.5	104	10.8	6.3	5.4	3.3	1.6	66	33	242	1
allyl alcohol	8 day	Middle	653	13.4	40.1	61.4	20.6	33.5	4.8	131.7	147.9	13	1	0	4	82	12.1	18.1	207	930	83	91	164	0.13	0.08	208	15	0.4	140	3.9	100	11.2	6.2	5.7	3.6	1.7	67	37	227	1
allyl alcohol	15 day	Middle	695	14.3	41.8	60.1	20.6	34.2	4.5	110.7	137.1	17	1	0	3	79	11.6	18.4	207	788	87	48	157	0.12	0.06	233	15	0.5	140	3.5	100	10.5	7.3	5.8	3.4	1.4	62	35	309	0
allyl alcohol	15 day	Middle	689	13.8	39.7	57.6	20.1	34.9	4.6	138	87.8	17	1	0	3	78	11.8	18.5	237	776	71	153	150	0.16	0.09	230	17	0.4	141	3.5	102	11.1	6	5.9	3.3	1.3	56	33	203	2
allyl alcohol	15 day	Middle	705	14.1	40.6	57.6	20	34.7	4.9	173.9	189.5	11	1	0	2	85	11.8	19.3	234	639	72	193	158	0.16	0.11	234	16	0.3	140	3.3	100	10.8	6.6	5.8	3.3	1.3	59	39	188	1
allyl alcohol	15 day	Middle	723	14.4	41.4	57.2	19.9	34.8	4.4	122.2	121.7	20	1	0	4	75	11.8	21	227	634	79	107	155	0.12	0.06	251	17	0.4	138	3.8	100	10.5	6.6	5.6	3.2	1.3	58	32	116	1
allyl alcohol	15 day	Middle	690	14.9	42.4	61.4	21.5	35	4.1	125	82.8	24	1	0	3	72	12	18.6	224	843	61	51	124	0.11	0.06	214	14	0.4	140	3.6	102	10.4	6.3	5.6	3.4	1.5	63	30	241	1
allyl alcohol	29 day	Middle	807	15.5	45.2	56	19.1	34.2	2.5	101.5	84.8	7	1	0	1	90	12.1	19.8	215	782	81	78	149	0.13	0.06	223	13	0.4	142	3.2	103	10.4	6.9	6.1	3.7	1.5	58	32	171	0
allyl alcohol	29 day	Middle	784	15.1	43.6	55.5	19.3	34.7	2.9	112	99.1	13	1	0	1	83	11.8	20.8	221	605	75	124	160	0.16	0.09	206	18	0.5	140	3.9	103	10.7	5	6.1	3.4	1.3	58	32	162	1
allyl alcohol	29 day	Middle	739	15	43.3	58.5	20.3	34.7	3.2	111.8	134.8	16	1	0	2	80	12.1	20.7	212	534	81	105	158	0.15	0.09	229	18	0.5	141	3.6	103	10.9	5.5	6.2	3.6	1.4	56	32	154	2
allyl alcohol	29 day	Middle	799	15.1	43.7	54.7	18.9	34.6	2.9	112.6	134	25	1	0	2	71	12	20.1	234	349	53	136	115	0.16	0.12	241	14	0.5	139	3.8	101	10.4	6.5	6.5	3.5	1.2	66	40	352	1
allyl alcohol	29 day	Middle	734	15.1	44.1	60.1	20.5	34.1	3.7	104.9	130.1	17	1	0	2	80	12	18.4	244	570	64	80	130	0.12	0.06	206	15	0.5	141	3.7	103	11.1	6.3	6.2	3.7	1.5	63	32	187	1
allyl alcohol	4 day	High	642	13.4	39.3	61.2	20.9	34.1	5.1	145.7	114.9	17	0	0	2	80	11.5	18.6	230	962	73	86	135	0.14	0.09	188	19	0.4	141	3.8	103	11.1	5.5	5.4	3.4	1.7	62	32	245	1
allyl alcohol	4 day	High	663	13.4	40.2	60.6	20.2	33.3	4.1	153.9	175.5	17	1	0	3	79	12	19.3	293	1151	78	50	129	0.1	0.05	223	8	0.4	142	3.2	105	10	7.4	4.9	2.9	1.5	74	41	242	1
allyl alcohol	4 day	High	629	13.4	39.6	62.9	21.3	33.8	4.9	125.9	124.1	14	1	0	3	81	11.7	17.8	256	754	77	59	132	0.12	0.05	207	15	0.4	140	3.5	102	10.7	7.3	5.3	3.2	1.5	57	39	183	1
allyl alcohol	4 day	High	664	14	41.7	62.8	21	33.4	4.8	135.4	109.5	15	1	0	4	79	12	18.8	273	748	68	28	105	0.1	0.04	221	15	0.4	142	3.6	104	10.1	8.3	4.9	2.8	1.3	91	48	177	1
allyl alcohol	4 day	High	600	12.7	36.4	60.8	21.2	34.8	4.8	149.4	117.4	13	1	0	5	81	11.3	17.5	241	758	70	72	126	0.11	0.06	192	11	0.4	141	3.5	102	10.4	8.6	4.7	2.9	1.6	71	38	259	1
allyl alcohol	8 day	High	669	13.9	40	59.8	20.7	34.7	2.6	129.4	233.1	20	1	0	4	74	13.8	22	412	915	80	47	130	0.14	0.08	168	12	0.4	140	4	103	10.6	7.5	5.7	2.8	1	1132	340	501	5
allyl alcohol	8 day	High	653	13.2	38.8	59.5	20.2	34.1	3.2	199.9	160.2	11	0	0	7	80	12.3	19.5	293	830	76	90	147	0.14	0.08	186	11	0.4	141	3.7	102	10.9	7	5.7	3.3	1.4	62	35	317	1
